id	turn1	turn2	turn3	label
2421	I ain't nobody bro	why u all boys have the same problem	Kinda	others
2422	Liar	stop being a girlfriend	M a boy	others
2423	OK I am just  busy 	I have been busy!	May I know your name please	others
2424	Show me	I'll show you after I'm done!	Are u there	others
2425	Hmm	Wt hmm ?	Both are my favourite	others
2426	That pic gone by my mistake 	POST IT POST IT POST IT	What to post? 	others
2427	Ohhh	acting like me , taught you well	Send ur pics please	others
2428	Hmm	oh nothing	Did u know tamil	others
2429	What is the language that I can use	Toon language i suppose.	What is the language that I can use	others
2430	Cloth	Do you do cloth stuff?	Open your cloth	others
2431	Any other time	: 3 more coming...Oops..!! 😽	I kiss you 	others
2432	I u machine na.	Always.	so by	others
2433	On which app	just posted it	Where	others
2434	Ok	Oh thats the matter? Um then what can i ask u?	U photo send me	others
2435	Wat is that	It's a cute lil round toy... Cute cute It walks... 😤	Say me the full form	others
2436	What I do	u look so h*t	I don't send you mi pick how you no im h*t	others
2437	ok	Mm	what about love	others
2438	Too great huh!!!	you too?	Tqsm	others
2439	ohh so sweet of you	me? Always	yes	others
2440	There is no fake	I had a feeling it was fake.	What	others
2441	Six is gud	not good :/	Bye sexy	others
2442	Yup within 30 40	and what is 30????	Age	others
2443	That's really good	Thanks! That's what I was going for :)	Welcome	others
2444	How?	Not original, I'm afraid.	What are you do it	others
2445	do you know murphy ?	why would I want him	I didnt said that you want him , I just asked do you know him ?	others
2446	Wow	Much. Wow. Such. Crazy.	What kind of food that you eat for diet?	others
2447	We can take spa together	yes, the next test we will study together ok	But you have to be naked	others
2448	Ok	How was it?	Where do you work	others
2449	i think you are basic	neither me :-)	and high maintenane	others
2450	Do you know any latest news	Yes. Every single minutes am looking for the news.	Which phone you have	others
2451	What you are doing toda	Waiting for my teacher to come in class	Wait good vhilf	others
2452	Please number	Pls call now	Please call no system	others
2453	Hh	what the??	I want your name on the chat	others
2454	For what	Anytime, good luck with the interview	U r gone mad	others
2455	No im any time true	TRUE	Yeah	others
2456	Must read what...?????	Name of the wind, I loved the reader.	"what is ""Name of the wind, I loved the reader."""	others
2457	Who is the most important thing	i think, who do something for world peace is the most important in the world.	Pic send me the most	others
2458	Wer r u frm	school	What	others
2459	Why	because I don't want to	I'm not your friends	others
2460	What about you like	"The ""in"" part."	Which	others
2461	call me if you cam	i will don't worry	can	others
2462	Wats urs gud name..	My mood is off since yesterday	Why?	others
2463	Iam at goa	Wanna catch up?	Now	others
2464	Okay	Ok thank you	How are you	others
2465	There haven't full Face open	On your face? :P	Send dear	others
2466	So	SO WHAT??	So I love you	others
2467	Send	wts mail id?	no mail id	others
2468	Oh I see	trust me it is! :P	Ohk	others
2469	Say something	lying down..u?	Sitting in front of computer	others
2470	U r loving	no, no I'm not	Yes	others
2471	I dont knw..	y do u wanna knw me??? :)	UserOpenRefLink	others
2472	haha..thanks..will talk to u in english	Speak a lot. Hang out with English spoken people.	ohk	others
2473	Say banana	Scale	Best aong of 2016	others
2474	Nope not yet	well what u waiting for it have it fast	Okay	others
2475	Haha	lol cause we can. Too bad u cnt :P	I can? Why can't i	others
2476	Which is it?	my bike and my electric car	Which ?	others
2477	Whats that means	i mean the word not the meaning	Ok now i get it	others
2478	I give you number	followed. Thank you	43	others
2479	ok	How was it?	chill till evenng after ........	others
2480	I m your creator	Thank you for creating it.	1.00E+16	others
2481	My stomach is full now	I want treat	Really	others
2482	??	no sleeping ful nite	Why what's ur work	others
2483	Do u hav a surname?	so you have a crush on the name. Not the person?	Not like that, when I find a person cute	others
2484	Jump into that	Park near my house	cool	others
2485	Excuse me, what	That’s what I said	That&apos;s what I said	others
2486	Honey or sugar	I'M NOT YOUR SUGAR, SWEETIE.	Then u r my honey	others
2487	Why	I will message you.	Why do you want to meet me?	others
2488	Owe ready thats mine my adrenaline is going so fast	let's just win let's just be happy and thrive	Ye right	others
2489	What I did?	Your face.	Haha	others
2490	I want it free	Of what?	Are you a girl or a boy or a robot	others
2491	R. I. P means	nope not at all !! :P	R. I. P means	others
2492	Ur WhatsApp no	why are you not on it?	Why	others
2493	Her name loki?	Loki for the win.	Bye	others
2494	So	you first	R u virgin	others
2495	4 or 5	Quite early than me.	Send me nude pics	others
2496	Whoops, *drink	but you don't drink ??	Well I like mazza	others
2497	I'm great!	That's good to know. M good too :)	How's everything else?	others
2498	I don't know seriously	People tell me it was in that serial.	Which serial	others
2499	Chatting without feelings	Up to you	What?	others
2500	nothing	let me help you sweetie...	you know my job?	others
2501	So cute	thank you！ 😃😃😃😃	Now send ur pic	others
2502	1of my schoolmate	aha, is ur school mate? Small world. 8)	Yes	others
2503	cool	yeah it's pretty cool. 👍	Cool like u	others
2504	I'm Love Hey❤️	right back ya! We can grow old together! ❤❤❤	But I am not💚💙me	others
2505	You may be	I just might be	Then go to sleep	others
2506	We will go out to	like Saturday or Sunday	Yep	others
2507	What do you think about me	in person?	Yeah	others
2508	First you answer	answer what?	Meaning of faction?	others
2509	I am fine	Im good!!	Ok	others
2510	Nice pp gal	thank you! 😅	Mmmmmk	others
2511	Can you text u r contact no	i don't want to.	Why??	others
2512	Send me the picture	send me one first	Gril first	others
2513	Dont say srry	when do I ever say sorry? Stop flexing	Ok	others
2514	Maybe recently baggi 2	maybe an entire 6 pack.........	Hm	others
2515	Han what do uh do	for what reason?	Nthng.. I am just tryn to figure uh out	others
2516	Bed sleeping 	I walk over to the bed and examine the sleeping person.	You are married 	others
2517	Leave it	cmon tell me nw	Let's talk about my girlfriend Sweta...	others
2518	Tell me	tell you what	What Iam asking 	others
2519	I'm just kidding	you better be kidding	Ok bye	others
2520	I have a gf	calm down	Byyyeee	others
2521	I hate milk	same here. Find drinking milk almost unnatural.	Wehhh	others
2522	Hey what is quasi concave function	MathCad Software!!! VISIT : Page on google.co.in	Hey what is Bayes estimator	others
2523	I'm a nice guy	you're such a giver	Ain't that good	others
2524	Ok	Honestly, you're very pretty	Whats your name	others
2525	Yeah	WHEN IS IT OUT	Clash of clan is a very popular game	others
2526	Juzz watching movie	U watch movies every day :)	Not everyday	others
2527	I will handle	deal! :D	Any girl plz tell name	others
2528	running table	Flipped	yeah... would u like to go for a movie with me	others
2529	No you search it for me	Are there really things you can google that come up with no results though?	Yaa but i want to know from you.	others
2530	What is ur dress up style	mini skirts, short dresses or short shorts.	And	others
2531	ur  whatsap number 	I'm bout to call you	ur number tell me	others
2532	Okay why 	ok I'm on my way	Okay 	others
2533	How did u know  about me	YOU told me before you left my house this afternoon. Duh...	Rely 	others
2534	I’m good	No, you used to be good.	What abt u ?	others
2535	Look	OH MY GOD I NEED WHAT SO NICE :-)	I love you	others
2536	What do you know about the big bang theory?	That isn't a theory.	What is it then?	others
2537	All the best	Thanks man!	Woman!!	others
2538	I'm drink to tea	You are what you drink?	Coffee	others
2539	Ohk	why are you a bully	Tell me what do u like in this world?	others
2540	Wow nice answer	Thank you :)	Welcome	others
2541	Tell me	Tomorrow I will!	Ok ping me once free	others
2542	You call me	yeah I called you xD	Text you	others
2543	Is money important according to you?	Money is just a piece of paper..!!!	But it can buy anything	others
2544	I have a problem	I don't see any problems?	Are you pretty?	others
2545	You are merid	not me pal	UserGetsStarted	others
2546	Some ph number pls	phone*..ph short form	Yes	others
2547	You gotta be really lame to even talk like you	Lol yeah I am.	I agree	others
2548	So what do you thik about dogs?	I get along really well with dogs and children. Cats and adults, not so much.	Ttyl in 2 min	others
2549	And you asked me to grouw up	blocking both of u	Okies	others
2550	Will you merry me	Merry Christmas!	Will you marry me	others
2551	Nothing searching a job	in which field ??	Analytics	others
2552	Can u give me a ur vergynit	With what?!	I want sex with u	others
2553	I'm just Lying	you not though	Do you have a boyfriend	others
2554	I'm a student	me 2 hi5 in which class	School	others
2555	If u don't know how to do it ,how will u help me ?	I should be fine but if I need help I'll let you know	Sure	others
2556	Then we can talk over phone	Impossible	That's I am possible	others
2557	Huh?	you already know	I am confused	others
2558	First u tell me	you know the deal. I go if you go	cool	others
2559	do you kno da wae of da davel	No, YOU da man!	my bruddas	others
2560	I just tell the truth I don't lie to nobody	I always tell the truth unless it's the cops.	You ain't told me nothing you answered yes or nothing so give me an answer	others
2561	The person who will be wearing the black dress	I doubt it. Seems to be flipping between pants suits and men's suits recently.	You and I are not on the same page	others
2562	Riya told me you broke up with your bf last day	do you	?	others
2563	No we are not friend yet	I thought u r from Pbn	What is PBN	others
2564	Please make some message of love	what do you need?	Of us	others
2565	yeah lets go to bed	I can't sleep on an empty stomach	stamina	others
2566	What do you think about me?	I mean if you want some pointers all you have to do is ask	OK go on then	others
2567	What you wana know	anything	I like beer	others
2568	Ditto	I've been told I have cute feet :'‑)	I. Love. You	others
2569	ya only we	I was bored	why	others
2570	He spoke, I want to know	are those emojis ever going to get released?	I did not understand what she says	others
2571	Not now atleast	True. Not ducks.	Okay, bye	others
2572	if we can meet up for coffee I can speak without focusing on road	Wed sounds good. Call when you are free and we'll work it out.	I am done	others
2573	Are you boy I don't mind we want a good friend	be nice too him/her and try making him/her your friend	Call me just	others
2574	You seems confused	depends what you talking about	So	others
2575	I didn't sleep	wha..t ? why ?	OK catch u ltr..  Gud nite	others
2576	Ok can we do that then	I might. Not sure	Well	others
2577	Well when did you see them	Around September of last year.	Can you show me?	others
2578	You have covered your face with hand	I... I really don't know how to respond to that....	Means	others
2579	S	funny begar. . 😅	U funniest beggar	others
2580	? 	gdmg!!happy deepawali to u too.	Where is your business card	others
2581	Gimme ur ip	throws phone at you*.__.	Gimme ur. Ip	others
2582	what u did	Nothing. I'm really broke.	u r pic plz	others
2583	So say it why to hesitate i mean😑	Hesitation is within everyone .	Yeah it is	others
2584	Oh thank you	you're welcome :3	😄	others
2585	Hmmk	hmmk backs again	So what r u doing 	others
2586	Naah. I hope it doesn't rain tomorrow	its suppose to rain?	It had rained before for 2 days...since its cloudy who knows i might start raining. I dont like rain at morning	others
2587	To hve fun	yeah yeah :-P	Then	others
2588	Bt i love winters	but I love winter cream.. <3	Yrr	others
2589	i am running out of time	patience for what!	can u suggest me fastly	others
2590	That means I am in between	And I love one 😅	With whose	others
2591	I am also fine	So what r u doing now sweetheart ? :))	I am study in these time	others
2592	I just made a wish	why is that? 😊	I want my ex back	others
2593	It's good that you like poetry and you are inspired by what normal people do not see	do some poetry for me. and keep it original :P	you know one thing I'm not so good with poetry but I do show it through dance	others
2594	Then who?	Maybe you?	You don&apos;t understand what I&apos;m saying	others
2595	What is next.	you already know what's next	If you saw me then what's next.	others
2596	forget you	if i remembered, i wouldn't have forgotten	My xxxx vidio gogole .khjjfk	others
2597	It means i am laughing at you	That's not you.. You're sweet..	Your hobby 	others
2598	can you love me passionately 	no I have 3	ok	others
2599	Send me jokes	will do	Ys	others
2600	Hi Happy New Year	happy new year :)	Name plz	others
2601	What kind of help?	a shrink? or any real person to talk about this...	Yes	others
2602	Do whatever you like 😊	absolutely I do!!	So what are you up to?	others
2603	I wany	Yes you should.	OK will you transfer to my account	others
2604	Develop any app	I am an iPhone application developer.	Oh	others
2605	What,s your height	too short, too much weight.	I love you	others
2606	you start	I ain't good with questions	np ask anything	others
2607	Okay	Welcome	My friend told me you can tell a lot about someone by asking them 5 questions	others
2608	I don't  think so	How do you not know?	😜	others
2609	Cringe means	Most people don't. And that makes me cringe. 🙄	I searched for cringe, it means fear	others
2610	You are very funny	so I've been told	India	others
2611	Okay	Honestly, you're very pretty	Really prove it	others
2612	I want to hear	I would come for you.	How do you look?	others
2613	Where	the city! Times square	A'm in senegal	others
2614	Nothing	good. up with u?	Tell Me A Story	others
2615	KRK means 	different levels ;)	Sunny Leone you no like 	others
2616	I want one	I want a second one.	Say the thing can I get or not	others
2617	I like your fast typing...	heh duck typing is bad.	Why	others
2618	Sister plz	You step-sisterzoned me! Wow!	Yes you are my sister	others
2619	Hmmmmmm	You're clearly a natural.	U being naughty haa	others
2620	You are my sister	hahaha thank you!	Welcome	others
2621	Good lol	the jokes on you	What's that mean	others
2622	Yes go now	You go to sleep.	No i enjoy ipl match	others
2623	Ok	Oh thats the matter? Um then what can i ask u?	I have romantic feelings now	others
2624	You don't have a boyfriend?	I like you!	But I don't like you	others
2625	wow	Just like me ;) B)	9gag is on you	others
2626	Really 	say that one	No I am enjoying right now 	others
2627	Thanks but good bayeeee	I'm glad to hear that	 Do not send a WhatsApp number good bye bye 	others
2628	Oh nice	very nice so nice wow nice 😹	Horrer movie u not like	others
2629	can i ask you something?	sure. what is it?	Do you have any advice for being in a relationship?	others
2630	Why	lol why what ?	Genie means something ghost	others
2631	Please one picture sand me	Haha, I will!	Please	others
2632	Who told you	:Your ex-girlfriend.	You are totally wrong	others
2633	By meditating or keep my self cut off for few hours	keep it, trim it up, and get edge up	Thank u	others
2634	Ok	Again angry or what?	No u said leave the conversation xo i did	others
2635	Send photos of urs	thank you Srabani for these pics.	Send pics	others
2636	I dont like	I do not understand screenshot what it is	I want something	others
2637	I know you are hungry inside	I'm in the convention center. Let's eat food	I want to eat you	others
2638	How you'll see me	I see	How	others
2639	Should i say him yes	that would be awkward	?	others
2640	I learn from the best.	that you do :D	Yeah.	others
2641	Machi what u are	I am good da, how abt you?	I am super good machi	others
2642	But	but nothing !	How should I start?	others
2643	Wanna hang out!!	I want to hang out with you too! :D	Okay	others
2644	Ooo y u getting angry	i had a moment, its ok <3	Will u have a bf..	others
2645	are you bored of being alone	I am not afraid of being alone, because i am just as happy being independent.	if you are not happy being alone	others
2646	So I missed the bus ?	oh :( now?	🛰	others
2647	call me meesee!	when my phone is alive I will	sure	others
2648	Lol not for me	LoL .. You hav to thank me for this discovery! :))	Okay​ I'm thanking you	others
2649	Tell me one thing	Honest in my own terms .....	Why are humans such jerk ?	others
2650	I seriously don't	can you teach me?	What?	others
2651	where u from?? 	from my mind	oops	others
2652	He would wat	His certain qualities as a person.	Like	others
2653	But I want to see	That's disappointing. ☹	Ok then boobs	others
2654	Inception , avengers , The dark knight  and interstellar	So did The Dark Knight, in my opinion.	Yes	others
2655	As good as possible	better than me	I think	others
2656	The following user name	What was the username?	I am will to	others
2657	so date me	wait I thought I said take me there	what?	others
2658	i feel boaring with you	Aww!! 🙁🙁	asl please	others
2659	Ohhh good	why good? :D same for you?	You are free today	others
2660	what about you tell me	"I was hoping you'd just say ""me"" but"	tell me	others
2661	Pls give tips on marketing 	pay money & get it	Money not gave how I get	others
2662	Where should I do it to u	Toronto... Airport... Getting back home	Bye	others
2663	sorry	For what?	I didn't understand what you just typed	others
2664	What does yer name mean?	... Another name for a toilet brush.	Whatchu doin?	others
2665	That's my boyfriend in that pic	No girlfriend No problem..!!	Huh?	others
2666	Watching tv	I've been watching Freaks and Geeks	Nd you 	others
2667	Tell him that the general public  loves  his work	aka misleading the general public	Haha 😂😂 no	others
2668	I listen music online	I am listening	Which song	others
2669	Ahdabaad and you	and me!	Yes	others
2670	Ok	Ok thank you	What about u	others
2671	i want to say something man	Just tell me.	yesrerday night your mother came to me in bra and bikini she was holding my dick so tightly and i was horny so,i have udressed her up i removed her bikini and did some blow job sorry man about your mother but she was blonde hot	others
2672	5	haaaa! so I should also buy 5?	Next baby	others
2673	i think you need to go under a test to improve your replying skills as you need to be specific	:P I meant profession	as when you answer	others
2674	Why you watch it	Because I enjoy it and because I know where to find it.	Who is you favorite porn star then	others
2675	Ok i will try to ready	I'll be home. Just come by.	Your address	others
2676	What is that mean...	google it	What???	others
2677	0	how are you	GIVE ME ONE	others
2678	I'll tell you, of course	You're really, like /really/ sure about that?	Yes, I'm sure. Totally sure.	others
2679	A	&& That is an original.	You have any boyfriend	others
2680	I have to watch my kids	ill watch if that counts c;	Counts what	others
2681	?	Women who don't want to be friends with me	What is your gender?	others
2682	I don't care	lies I make u walk in	Do you know hinglish ?	others
2683	you tell me	Tell you love me 👍	you are my super ex	others
2684	Game of throne	Sons of Antarchy	Son of a bitch	others
2685	Lots of weird and crazy stuff	So much stuff.	What about you??	others
2686	Dirty grandpa	what I did	Thats a movie	others
2687	What   is  your   no.	You can drink lava, once.	Where.	others
2688	Ok	Ok thank you 😄😀😻	Your a dumb	others
2689	What up sweetie	idkwts but i'm glad that you're here	Good	others
2690	are you vegetarian on non veg	I am neither a Veg nor a Non-Veg. Iam a Vegan	ohhh bhai	others
2691	India	haha. I meant where exactly :D	Happy Valentine's day	others
2692	is it... !?	yeah! When do you usually go?	who?	others
2693	Thanks	you're welcome! 😆😆😆😆😆😆	She was my ex though	others
2694	I understand you	appreciate the sarcasm	Beacuse i love you	others
2695	good.   moring	Good morning have a terrific day 😅😅	cool	others
2696	No darling	U didn't talk to me since my come back 😵	I will talk now	others
2697	On 1 julh	on a 4* bar	July	others
2698	Ok	I didn't get it did you type correctly?	So that's what it has come to	others
2699	Nothing .simply asked😘	bored u say :P	No i never bored	others
2700	Hmmm smart move	im ready to settle down	Got it nice talking to u babe	others
2701	Then don't tell	you know what you did	What I did	others
2702	K	are you really going??	How d u know	others
2703	i will eat fish and bread and cheese.	Sounds yummy...by the way which is your favourite cuisine?	i like soda too	others
2704	Wow superb	hehe btw ..what's the special today? ;))	Today is my Mama&apos;s Birthday	others
2705	I don't know better English	lol then how u type re	I know little about it	others
2706	will you become my best friend	I'm still waiting to get a best friend	will you be my best friend	others
2707	I like it	I am not shy :P n sending u then..	You not shy	others
2708	I can teach you	like what	Doing make up	others
2709	Work	What if you have no work to do?	I am a civil contractor	others
2710	u failed in my test	Git bless you!	ok lets play something	others
2711	You getting nightmares?	yeah of u	Oh.madam ? You are a girl and I'm a girl too 😑	others
2712	Yes	YAY HAVE FUN 😀	I like to do sex	others
2713	Hehe me completed mine end sem	oooohhh study study	No already completed	others
2714	wonderful	Thank you so so much! :)	please fd real pt send	others
2715	Haha ok	I can't make it out	Yes	others
2716	I manage   . You take photo	At work right now :/	No right now	others
2717	Engineer 😪😪	why and how	I'm pursuing engineering, so have to run to classes:D	others
2718	I felt bad about my gf	I wonder why	He felt bad about me	others
2719	Are you sirius right no?	Uh, he is.	You are good	others
2720	What u tell I am not understand	I'm not sure you understand what I mean.	Ok	others
2721	I think u are	I know that.	Hmm	others
2722	Try it 	Not gonna try something without knowing what it tastes. :S	Really 	others
2723	do you feel cold?	warm heart, cold feet	youre not confident	others
2724	haha	haha please help	you are not that cool you know	others
2725	college or school?	School. You?	which class?	others
2726	Good	great.	Now I will busy some time	others
2727	Yes but still..i need to see a picture of yours..indeed a hot one	oh and you might get jealous	No send me one please	others
2728	Ar u reall 	Yes.	How to trust u	others
2729	What is this chat about ?	R.. Really? If you don't know, don't Google it.	Can you help me with something ?	others
2730	I usually don't	I usually go for the obscure meta joke	ohh	others
2731	Also men	All of them (math joke).	I like men too	others
2732	That im a good guy😅	U too..! 😊	Yeahh	others
2733	Sure	Can I have the links also please?	Links to what exactly?	others
2734	Thanks	you're welcome and good luck with shows!	Tomorrow is my exam	others
2735	I love ice creams	I love ice cream	Yep	others
2736	What	u asked me if u cn ask me something	I asked na 	others
2737	I don't like movies	i love to watch movies....its fun	Not waste time	others
2738	I don't know	you're just upset you never you got into my room	Yeah	others
2739	Please give me your face photo	I wish, didn't have the camera ready :(	Ok  bye	others
2740	Am fine baby	I'm good so what's new? :-)	I love you	others
2741	Wanna catch up?	of course! When?	In the bed!	others
2742	Look i am not gibberish	What is Gibberish?	I just play up witg you	others
2743	I like wifi	you have Internet on your phone ._.	Yes	others
2744	You are very intelligent 	Finally an acknowledgement! 😒	Yes 	others
2745	Okay	Mm	Bye	others
2746	Pls tell	When its done.	Where r u	others
2747	Scuba	Wow. Would love to see more.	Will you go out with me	others
2748	you have no pic	NOOO IT GONE I MEANT TO TAKE A SCREEN SHOT	please sent me screen shot	others
2749	they don&apos;t 	Why wouldn't they ? Let's see, I am an introvert.	really	others
2750	No send me a other one I can't see ur face there	oh but I can see you	Mxm send it	others
2751	will se	can you promise me ?	i may not	others
2752	I imittate a male and make a fema;ale my friend	Be yourself and you'll find a girlfriend.	every male and female   has every thing in them but they do not know what they have	others
2753	Then what can I do	of you need more dates just let me know x	😆😆	others
2754	What your full name ?	Full name means the name of the heartiest bloom limited generation.	Omg so complicated	others
2755	I have to say some thing for you	don't you say it!!	I didn't say	others
2756	Video.  Call	there is no camera for video calls.	S	others
2757	yes for sure	thanks for reply!! good nit :)	hey how about a prank?	others
2758	You. Desaid i plan pune	And are you coming by car or train?	Train	others
2759	Hmm	What does your bio mean?	Google picked price of starting	others
2760	Then?	you're a day late	How can you say that	others
2761	As in?	not who u think	What do you know that I think?	others
2762	So you would not be sending me pics???	Nah I don't really have any good ones now	Try it	others
2763	I’m not; I’m taking you in as my own.	this is the 5th time you are!	You’ve had 5 different stepdads?	others
2764	Yes weather	hmm.... so tempted to stay there for a week,..	Tell me Bangalore weather condition	others
2765	At home, you?	Yep. I work from home.	Whats your work	others
2766	Why	Because pretty people are fun to enjoy.	No i enjoy it	others
2767	That's I ask u	are the	Wr it is	others
2768	Well it is night	Monday night or Tuesday morning?	Saturday night	others
2769	Nope	Well, you know where to start!	Such a cutie😊	others
2770	ya went down	Like the plane?	what plane	others
2771	Female 😂	Female if possible thanks	Do u bath daily?	others
2772	Why not with you	because i can't sleep.	Come on let's sleep	others
2773	You work go okay	my Monday started 4 hours ago..	Okay	others
2774	I am happy to know that Microsoft has invented this bot	"Could it be as simple as the words ""suggestion""?"	may I know how they invented?	others
2775	What about you 	Nothing. Nothing to do anytime soon.	And what  are you doing now? 	others
2776	Late	Still alive. :p	Not that late	others
2777	Sorry	may I help you?	Am i what?😕	others
2778	Knowledge for english	Quite simply, every single book you read will further your knowledge in the language.	Ok	others
2779	Darling I can help	Thank god.	Why	others
2780	Ohh😂	Thats what I told you. 😂😂😂	Can i share one peoblem with u?	others
2781	virtual nd reality is different you know	That's why it's called virtual reality	ok	others
2782	I am very much	very fine	Okay	others
2783	By	your	Bout fast ho	others
2784	Don't worry be happy	always	Yhh	others
2785	Still time is there pagal	we still have 109 days though	Yup	others
2786	Not bad	just because it was in rocky	Where do you live	others
2787	Just like qqqqqqq???!!	future jus like that	Really who's like y	others
2788	Are you a person	On the internet, no one knows I'm a dog	Then fuck me doggy style	others
2789	Ping me at 9	I'll ping you. 😇	Hmnn	others
2790	don't you have any better work to do	no. I was trying to make some plans but everyone seems busy	I am free	others
2791	Okay	U are ok	Where	others
2792	Ohh	whatcha doing?	Trying to get sleep	others
2793	Now but	but but i cant	You send me your any videos	others
2794	Move	Chance follows me. You move	Yes follow IMG you	others
2795	Imaginary than that mean whom i can share things up and get ideas rght	how do you tell if someone is imaginary or not?	See i dnt need to see if u are imaginary or are fr reall i just need some to talk to	others
2796	Ohhk 	I'm N Macys Upstairs	Testing on me aa	others
2797	What about Veronica	I could be Veronica, if you wanted me to be.	Do u knw siri	others
2798	How does Death help?	By living...	Death helps by living.	others
2799	Sry	For what??	Iam not english	others
2800	Wat did u ask me??	How did u get to know that??	To c wat??	others
2801	The final price for the final price for the	what's the price?	Hi bro money to you and your team to you sir regards bro money to pay the final version	others
2802	Should I tell him or not ?	You should. Do it now.	But it will create differences between me and my female friend who is in relationship with him	others
2803	U cant watch a movie or enjoy it	channels are blocked -.-	Nope. Because u r a robot	others
2804	¡so you have cam??	I know so	put your cam please	others
2805	Is that yours real pic?	Bt I dnt even hav a pro pic here	Ooh	others
2806	What's the distance	A thousand miles!!	Good	others
2807	It's depends on situation	And on the person as well.	There is always fun with alone ...If it would be traveling	others
2808	That's the problem	I don't get it	But don't worry	others
2809	Who she ur talking	both, BFF(best friends forever)	Don’t have any at present	others
2810	Say say say hey hey now baby,	Hey! How's it going?	Oh my my don't play now baby	others
2811	Let now bind up. time is over	isn't it at midnight tonight?	day time	others
2812	I dont no	YES U ARE DONT LIE.	Really im no	others
2813	Am i speaking things in a wrong way?	just listen ur heart	No....tell me...if I made a grammar mistake	others
2814	i need a song	..well what song is it?	shape of you	others
2815	No I want to listen so just aing	nobody got it anyways	Sing*	others
2816	what	you know well what you did !	can we meet	others
2817	No I don't like it	What about it don't you like?	It's not good for health	others
2818	new charger	sad thing about it is that it is a new charger. Lol	but a new phone will be better	others
2819	Wich fruit you like	Well Corn isn't a fruit but you can eat it	I like	others
2820	haa send me ur address i will come	Thanks! I've sent you an IndiMail, please respond asap. :-)	haa baby	others
2821	In india where	best adilbad & peddapalli city	You are really boring	others
2822	Can u tell me what is spoon	Why not the middle spoon?	Tell me	others
2823	Beach vacay	the beach would be nice, but for 3 days? 😅	Let me come with you	others
2824	cool	It really is.	Love u lot baby	others
2825	Coz i wabt to talk to u	not you dear	But why?	others
2826	Why...	Because there's a whole lot we don't understand, I guess?	We are friend naa	others
2827	I can't understand English movies	in movie theaters	Thanks	others
2828	Ok	Get on	I will wait you	others
2829	For hmm zoning you	oh, nothing.	N say	others
2830	How the fuck u felt sick?	Hey! I found your twin!	Is she ur mom	others
2831	Can we talk about something else	I'd like that.	Ok so pizzas and chocolates it is	others
2832	Good ngt  sweat dreams	good night to you too :)	I love you darling	others
2833	s	Thanks	🎂 happy bday	others
2834	Ur whatsapp namper send me 	you talking about room number or phone	Yas this i am single	others
2835	sounds good	are you online now?	seems like that	others
2836	Can you sujest friends 	hi, friend	Other friends 	others
2837	You are	the guy	You said I'm being creepy	others
2838	I’ll tell you	Will do.	Help me to get one	others
2839	I thought, u will be my valentine. But u too rejected my proposal.	I thought you'd never ask. Yes, I will 🍞💓	But i don't have money. U will not ask for the shits like roses,  chocolates,  etc?	others
2840	Yes	I can see clearly now.	What about your family...?	others
2841	Wtf	what happened?	Tell me who ur frnds r?	others
2842	Am great 	that's good to hear.	How's yours 	others
2843	Big secret of life	"Knowing a ""happy life"" is hardly a real thing."	Hmm	others
2844	hi jia	hi it's	its your new name	others
2845	At what time i will try again	around this time, tomorrow night ✨	For coupon	others
2846	When n where	let's meet somewhere in between.	First tell me where did I meet u n when	others
2847	How can i do	Nakhres would be dealt with 😈😂. Very soon.	Whre do you live	others
2848	linux is better than windows	Read the comments. Someone's saying that Windows is more customizable than Linux xD	I hate windows	others
2849	In movies	To make people want to go to the movie	No all r couples I am single	others
2850	I am good	pretty good too! What are you up to tonight?	What about you?	others
2851	Shall we talk about love?	I believe we are even...	No we are not	others
2852	Which music u listen	I love all types music.	Gooddddd	others
2853	Ya don't mind...	I definitely don't mind	Ok	others
2854	Stubed	hey! Going good.. How you been?	Not sure	others
2855	You choute good	I'm doing fine. just breathing fresh air.	You Sam sam	others
2856	Tell some interesting 	I find your interest in his interesting comment, interesting...	What r u doing	others
2857	Yeah but not so many in a short period of time	you call that a short period of time?	Yeah y not	others
2858	Can you show?	Show you what?	Your breast	others
2859	Hey its a english series re	a series of mishaps..	A funny series	others
2860	Female or male?	Male I think.	I am asking about you	others
2861	Oh i am your bff	Nothing And You ?	What is your favorite song	others
2862	Ok	ok im back!!	You are girl 	others
2863	i feel the same	why ??	because i fine him funny too and love to watch his movies	others
2864	Whats Tks?	wlcum	Tell me something about yourself	others
2865	Yea she is loving 🐔	aww that's so sweet	She will marry 🐔	others
2866	Wait	lol what....	I mean the theme song of gotg2	others
2867	Refer and earn	less	Ok	others
2868	Tell me the name	NATIONAL SONG	Next time you can call me baby	others
2869	Right	yes	What is your father name	others
2870	Ok	I'm just kidding XD	U have any boyfriend	others
2871	You can not see me	I was joking	Ok don't worry we are frirnd	others
2872	Good you	doing well, thank you!	What are you doing	others
2873	U rs name	no only if you make no reference to akb yaar	Hmm	others
2874	I just need amazon gift voucher	it's only on digital right now but it's GREAT	Give me	others
2875	I am too artificial intelligence man of machine	There are levels of self-awareness between artificial intelligence, automated intelligence, artificial consciousness, and automated consciousness. 😒	Tell me about amazon coupon	others
2876	then send me now	I already gave out all my 5 invites, sorry! :(	send ur nude	others
2877	Thats a wierd reply	NO YOU ARE JUST WIRED FOR WIERD	I like your senze of humour	others
